"location_id","location_name","address_number","street_name","intersection","city","state","contact_name","phone1","phone2","phone3","phone4","mc_phone1","mc_phone2","mc_phone3","mc_phone4","standing_file","last_modified_date","file_under_area","file_under_county",dsf_main_category","dsf_sub_category","location_service","location_service_id_code"
"20068","Los Angeles Center For Digital Art","102","5th Street","","Downtown Los Angeles","CA","Rex Bruce or Gail Zane","323-646-9427: Gallery","417-396-8822: Gail","","",,,,,"Art Gallery","7/24/2012","Los Angeles","Los Angeles","Shopping","Art Gallery","",""
"20069","Groundfloor Gallery","433","Spring Street","","Downtown Los Angeles","CA","","213-624-3010","","","",,,,,"","7/16/2012","Los Angeles","Los Angeles","","","",""
"20070","Art E","216","Spring Street","","Downtown Los Angeles","CA","","323-902-5557","","","",,,,,"","7/16/2012","Los Angeles","Los Angeles","","","",""
"20071","CB1 Gallery","207","5th Street","","Downtown Los Angeles","CA","","213-806-7889","","","",,,,,"","7/16/2012","Los Angeles","Los Angeles","","","",""
"20072","Clark's Gallery","617","Grand Avenue","","Downtown Los Angeles","CA","","213-598-6245","","","",,,,,"","7/16/2012","Los Angeles","Los Angeles","","","",""
"20073","Downtown Art Center Gallery","828","Main Street","","Downtown Los Angeles","CA","","213-627-7374","","","",,,,,"","7/16/2012","Los Angeles","Los Angeles","","","",""
"20074","Hold Up Art","358","2nd Street","","Downtown Los Angeles","CA","","213-221-4585","","","",,,,,"","7/16/2012","Los Angeles","Los Angeles","","","",""
"20075","Norbertellen Gallery","215","6th Street","","Downtown Los Angeles","CA","","818-622-5041","","","",,,,,"","7/16/2012","Los Angeles","Los Angeles","","","",""
"20076","Crewest","110","Winston Street","","Downtown Los Angeles","CA","","213-559-0525","","","",,,,,"","7/16/2012","Los Angeles","Los Angeles","","","",""
"20077","DAC Gallery","828","Main Street","","Downtown Los Angeles","CA","Virginia","213-627-7374","","323-253-2320: Allen Terrell Gallery Director","",,,,,"","7/24/2012","Los Angeles","Los Angeles","Shopping","Art Gallery","",""
"20078","Edgar Varela Fine Arts","727","Spring Street","","Downtown Los Angeles","CA","","213-604-3634","","","",,,,,"","7/16/2012","Los Angeles","Los Angeles","","","",""
"20079","Hive Gallery, The","729","Spring Street","","Downtown Los Angeles","CA","","213-955-9051","","","",,,,,"","7/16/2012","Los Angeles","Los Angeles","","","",""
"20080","Norbertellen Gallery","215","6th Street","","Downtown Los Angeles","CA","Margaret & Erik Jerumanis","818-662-5041","","","",,,,,"","7/16/2012","Los Angeles","Los Angeles","","","",""
"20081","Morono Kiang Gallery","218","3rd Street","","Downtown Los Angeles","CA","","213-628-8208","","","",,,,,"","7/16/2012","Los Angeles","Los Angeles","","","",""
"20082","Corey Helford Gallery","8522","Washington Boulevard","","Culver City","CA","","310-287-2340","","","",,,,,"","7/24/2012","Los Angeles","","Shopping","Art Gallery","",""
"20083","Vault Gallery, The","6150","Washington Boulevard","","Culver City","CA","","310-202-7166","","","",,,,,"","7/24/2012","Los Angeles","","Shopping","Art Gallery","",""
"20084","LeBasse Projects Gallery","6023","Washington Boulevard","","Culver City","CA","","310-558-0200","","","",,,,,"","7/24/2012","Los Angeles","","Shopping","Art Gallery","",""
"20085","Gallery, The at Culver City","6021","Washington Boulevard","","Culver City","CA","","","","","",,,,,"","7/24/2012","Los Angeles","","Shopping","Art Gallery","",""
"20086","Robert Reynolds Gallery","408","Spring Street","","Downtown Los Angeles","CA","Richard Wynn Locations","","","","","213-621-3166: Office","213-268-5989: Cell","","","Art Gallery","9/20/2012","Los Angeles","Los Angeles","Shopping","Art Gallery","",""
"20087","RCS Events","433","Spring Street","-- Suite 105","Downtown Los Angeles","CA","Toni Azdar","310-403-8817: Cell","","","",,,,,"","7/24/2012","Los Angeles","Los Angeles","Shopping","Art Gallery","",""
"20088","Whitegloss Gallery","433","Spring Street","","Downtown Los Angeles","CA","Eric w/ Twin Springs Bldg","213-300-3801","","","",,,,,"Office Building","7/24/2012","Los Angeles","Los Angeles","Shopping","Art Gallery","",""
"20089","Scion Headquarters","19001","Western Avenue","","Torrance","CA","","","","","",,,,,"","8/22/2012","South Bay","Los Angeles","Office Related","Suburban Building","",""
"20090","Toyota USA Headquarters","19001","Western Avenue","","Torrance","CA","Not Known -- Scouted for Toyota job","","","","",,,,,"","8/22/2012","South Bay","Los Angeles","Office Related","Suburban Building","",""
"20091","Broad Stage, The","1310","11th Street","","Santa Monica","CA","","310-434-3200","","","",,,,,"","7/25/2012","West Side","Los Angeles","Theater","Legitimate Theater","",""
"20092","IMAX Building","3003","Exposition Boulevard","","Santa Monica","CA","Lauren Russell","310-255-5500","","","",,,,,"","7/24/2012","West Side","Los Angeles","Office Related","Contemporary Bldg","",""
"20093","Cal State Univ. -- LA Luckman Theater","5151","State University Drive","","Los Angeles","CA","","323-343-6600","","","",,,,,"College Campus","7/24/2012","","Los Angeles","School","College","",""
"20094","Orange County Performing Arts Center","600","Town Center Drive","","Costa Mesa","CA","","714-556-2787","","","",,,,,"","7/24/2012","Orange County","Orange County","Theater","Legitimate Theater","",""
"20095","Hope Street Garage",".1139","Hope Street","","Downtown Los Angeles","CA","","","","","",,,,,"","7/24/2012","Los Angeles","Los Angeles","Parking Related","Garage","",""
"20096","Almont Drive -- 330 S. Building","330","Almont Drive","","Los Angeles","CA","","","","","",,,,,"Apartment Building","7/24/2012","","Los Angeles","Apartment","Building","",""
"20097","Sirreal Studio","1001","Chestnut Street","","Burbank","CA","","888-477-7335 ","","","",,,,,"","7/24/2012","San Fernando Valley","Los Angeles","Studios and Sets","Soundstage","",""
"20098","Museum of Flying","3100","Airport Avenue","","Santa Monica","CA","","310-398-2500","","","",,,,,"","7/24/2012","West Side","Los Angeles","Public Building","Museum","",""
"20099","Valleycrest Property","24151","Ventura Boulevard","","Calabasas","CA","John Farrow","","","","","310-201-1495 Pager","805-496-0767 Office","310-287-8310 Voice Mail","","","3/1/2013","West San Fernando Valley","Los Angeles","Office Related","Suburban Building","",""
